,player,team,age,position,Mins,Passing Accuracy,,league,season
108,Levi Colwill,Chelsea,21,D(CL),1800,83.4,,ENG-Premier League,2324
109,Mark Travers,Bournemouth,25,GK,360,51.4,,ENG-Premier League,2324
110,Marc Cucurella,Chelsea,25,"D(CL),M(L)",1786,86.7,,ENG-Premier League,2324
111,Dominik Szoboszlai,Liverpool,23,AM(CLR),2110,87.3,,ENG-Premier League,2324
112,Scott McKenna,Nottingham Forest,27,D(C),417,77.5,,ENG-Premier League,2324
113,Craig Dawson,Wolves,34,D(CR),2211,86.7,,ENG-Premier League,2324
114,Fabian Schär,Newcastle,32,D(C),3057,83.2,,ENG-Premier League,2324
115,Oleksandr Zinchenko,Arsenal,27,"D(L),M(CLR)",1727,89.4,,ENG-Premier League,2324
116,Raheem Sterling,Chelsea,29,"M(CLR),FW",1983,79.3,,ENG-Premier League,2324
117,Tosin Adarabioyo,Fulham,26,D(CR),1617,84.7,,ENG-Premier League,2324
118,Kobbie Mainoo,Man Utd,19,DMC,1942,86.7,,ENG-Premier League,2324
119,Matheus Nunes,Wolves,25,M(CLR),180,84,,ENG-Premier League,2324
120,Ben Brereton,Sheff Utd,25,"AM(LR),FW",1111,77.1,,ENG-Premier League,2324
121,Marcos Senesi,Bournemouth,27,D(C),2248,78.5,,ENG-Premier League,2324
122,Christian Nørgaard,Brentford,30,"D(C),DMC",2513,81.2,,ENG-Premier League,2324
123,Caoimhín Kelleher,Liverpool,25,GK,900,79.3,,ENG-Premier League,2324
124,Boubacar Kamara,Aston Villa,24,"D(CL),DMC",1662,89.3,,ENG-Premier League,2324
125,Micky van de Ven,Tottenham,23,D(CL),2344,94.3,,ENG-Premier League,2324
126,Hwang Hee-Chan,Wolves,28,"AM(CLR),FW",2133,77.7,,ENG-Premier League,2324
127,Rodrigo Muniz,Fulham,23,FW,1598,62.1,,ENG-Premier League,2324
128,Callum Hudson-Odoi,Nottingham Forest,23,M(CLR),1856,85.3,,ENG-Premier League,2324
129,Dominic Calvert-Lewin,Everton,27,"AM(L),FW",2189,56.9,,ENG-Premier League,2324
130,Manuel Akanji,Man City,28,"D(CLR),DMC",2514,93.8,,ENG-Premier League,2324
131,Carlton Morris,Luton,28,"AM(CL),FW",2867,66.8,,ENG-Premier League,2324
132,Emerson,West Ham,29,"D(L),M(L)",3143,82.9,,ENG-Premier League,2324
133,Tyrick Mitchell,Crystal Palace,24,"D(L),M(L)",3209,74.2,,ENG-Premier League,2324
134,Albert Sambi Lokonga,Luton,24,DMC,1310,89.2,,ENG-Premier League,2324
135,Robin Olsen,Aston Villa,34,GK,405,79.3,,ENG-Premier League,2324
136,Thiago Silva,Chelsea,39,D(C),2528,94.9,,ENG-Premier League,2324
137,Joël Matip,Liverpool,32,D(C),783,87.7,,ENG-Premier League,2324
138,Alex Iwobi,Fulham,28,M(CLR),2205,81.8,,ENG-Premier League,2324
139,Chiedozie Ogbene,Luton,27,"M(CLR),FW",1994,81.6,,ENG-Premier League,2324
140,Brennan Johnson,Tottenham,23,"AM(CLR),FW",2093,76.2,,ENG-Premier League,2324
141,Jarell Quansah,Liverpool,21,D(C),1190,88.8,,ENG-Premier League,2324
142,Alejandro Garnacho,Man Utd,19,AM(LR),2578,79.4,,ENG-Premier League,2324
143,Rayan Aït-Nouri,Wolves,23,"D(L),M(L)",2347,86.6,,ENG-Premier League,2324
144,Ben Godfrey,Everton,26,D(CLR),1123,70.8,,ENG-Premier League,2324
145,Edson Álvarez,West Ham,26,"D(C),DMC",2385,86.1,,ENG-Premier League,2324
146,Enzo Fernández,Chelsea,23,M(C),2215,86.9,,ENG-Premier League,2324
147,Aaron Wan-Bissaka,Man Utd,26,"D(LR),M(R)",1782,82.9,,ENG-Premier League,2324
148,Chris Wood,Nottingham Forest,32,FW,1810,64.5,,ENG-Premier League,2324
149,Andreas Pereira,Fulham,28,M(CLR),2638,78.8,,ENG-Premier League,2324
150,Joelinton,Newcastle,27,"AM(CLR),FW",1281,83.9,,ENG-Premier League,2324
151,Guglielmo Vicario,Tottenham,27,GK,3420,83.7,,ENG-Premier League,2324
152,Malo Gusto,Chelsea,21,"D(R),M(R)",1756,89.2,,ENG-Premier League,2324
153,Callum Wilson,Newcastle,32,FW,984,65.2,,ENG-Premier League,2324
154,Trevoh Chalobah,Chelsea,24,"D(CR),DMC",951,89.6,,ENG-Premier League,2324
155,Morgan Rogers,Aston Villa,21,"AM(CL),FW",640,77.1,,ENG-Premier League,2324
156,Nathan Aké,Man City,29,"D(CL),DMC",2044,92.8,,ENG-Premier League,2324
157,Neto,Bournemouth,34,GK,2880,60.2,,ENG-Premier League,2324
158,Lewis Dunk,Brighton,32,D(C),2873,92.5,,ENG-Premier League,2324
159,Pervis Estupiñán,Brighton,26,"D(L),M(L)",1248,88.7,,ENG-Premier League,2324
160,Jan Paul van Hecke,Brighton,24,D(C),2368,92.5,,ENG-Premier League,2324
161,Jordan Beyer,Burnley,24,D(CR),1239,89.1,,ENG-Premier League,2324
162,Chris Richards,Crystal Palace,24,"D(C),DMC",2092,83.3,,ENG-Premier League,2324
163,Pablo Sarabia,Wolves,32,"D(L),M(CLR),FW",1752,77.1,,ENG-Premier League,2324
164,Willian,Fulham,35,AM(CLR),2061,85.5,,ENG-Premier League,2324
165,Jack Grealish,Man City,28,"AM(CL),FW",1004,87.7,,ENG-Premier League,2324
166,Rico Henry,Brentford,26,"D(L),M(L)",402,84.6,,ENG-Premier League,2324
167,José Sá,Wolves,31,GK,3039,59.2,,ENG-Premier League,2324
168,Yves Bissouma,Tottenham,27,M(C),2088,91.9,,ENG-Premier League,2324
169,Maximilian Kilman,Wolves,27,D(C),3420,86.3,,ENG-Premier League,2324
170,Mathias Jensen,Brentford,28,M(C),2220,78.6,,ENG-Premier League,2324
171,Scott McTominay,Man Utd,27,"D(C),M(C)",1893,81.5,,ENG-Premier League,2324
172,Destiny Udogie,Tottenham,21,"D(L),M(L)",2398,87.5,,ENG-Premier League,2324
173,Amadou Onana,Everton,22,DMC,2094,84.9,,ENG-Premier League,2324
174,Jordan Pickford,Everton,30,GK,3420,59.4,,ENG-Premier League,2324
175,Emiliano Martínez,Aston Villa,31,GK,3016,81.4,,ENG-Premier League,2324
176,Nick Pope,Newcastle,32,GK,1346,71.1,,ENG-Premier League,2324
177, ,Liverpool,21,AM(CR),1339,87.7,,ENG-Premier League,2324
178,Rasmus Højlund,Man Utd,21,FW,2172,77,,ENG-Premier League,2324
179,Murillo,Nottingham Forest,21,D(C),2793,77.6,,ENG-Premier League,2324
180,Marcus Rashford,Man Utd,26,"AM(CLR),FW",2279,79.2,,ENG-Premier League,2324
181,Lucas Digne,Aston Villa,30,"D(CL),M(L)",2413,81.4,,ENG-Premier League,2324
182,Timo Werner,Tottenham,28,"AM(CLR),FW",815,80.8,,ENG-Premier League,2324
183,Bernd Leno,Fulham,32,GK,3420,77.2,,ENG-Premier League,2324
184,Vitaly Janelt,Brentford,26,"D(L),DMC",3072,79.9,,ENG-Premier League,2324
185,Kostas Tsimikas,Liverpool,28,D(L),677,85.6,,ENG-Premier League,2324
186,Luis Sinisterra,Bournemouth,25,"AM(LR),FW",692,80.1,,ENG-Premier League,2324
187,Amad Diallo,Man Utd,21,AM(CR),388,88,,ENG-Premier League,2324
188,Stefan Ortega,Man City,31,GK,632,78.1,,ENG-Premier League,2324
189,Thomas Partey,Arsenal,31,"D(R),M(CR)",790,90.3,,ENG-Premier League,2324
190,Sean Longstaff,Newcastle,26,DMC,2748,80.9,,ENG-Premier League,2324
191,Tom Lockyer,Luton,29,D(C),1173,71.5,,ENG-Premier League,2324
192,João Gomes,Wolves,23,DMC,2660,83.3,,ENG-Premier League,2324
193,Mykhailo Mudryk,Chelsea,23,AM(L),1581,76.9,,ENG-Premier League,2324
194,Raúl Jiménez,Fulham,33,FW,1404,69.7,,ENG-Premier League,2324
195,Matty Cash,Aston Villa,26,"D(R),M(CLR)",2144,84,,ENG-Premier League,2324
196,Nathan Collins,Brentford,23,D(CR),2650,81.5,,ENG-Premier League,2324
197,Neco Williams,Nottingham Forest,23,"D(LR),M(LR)",1634,72.4,,ENG-Premier League,2324
198,Dara O'Shea,Burnley,25,D(CR),2895,79.7,,ENG-Premier League,2324
199,Pape Sarr,Tottenham,21,M(C),2087,88.7,,ENG-Premier League,2324
200,Josh Cullen,Burnley,28,DMC,2060,86.7,,ENG-Premier League,2324
201,Robert Sánchez,Chelsea,26,GK,1434,79.6,,ENG-Premier League,2324
202,Luke Shaw,Man Utd,28,"D(CL),M(L)",965,85.7,,ENG-Premier League,2324
