,player,team,age,position,Mins,Passing Accuracy,,league,season
1396,Daniele Rugani,Juventus,29,D(C),1189,88.9,,ITA-Serie A,2324
1397,Rick Karsdorp,Roma,29,"D(R),M(R)",1216,82.1,,ITA-Serie A,2324
1398,Stephan El Shaarawy,Roma,31,"M(CLR),FW",1740,83.7,,ITA-Serie A,2324
1399,Hassane Kamara,Udinese,30,"D(L),M(LR)",2241,77.8,,ITA-Serie A,2324
1400,Luca Ranieri,Fiorentina,25,"D(CL),M(L)",2068,84.8,,ITA-Serie A,2324
1401,Lorenzo Lucca,Udinese,23,FW,2602,61.1,,ITA-Serie A,2324
1402,Danilo D'Ambrosio,Monza,35,"D(CLR),M(LR)",1535,90.1,,ITA-Serie A,2324
1403,Valentín Castellanos,Lazio,25,"AM(R),FW",1676,62.3,,ITA-Serie A,2324
1404,Samuele Ricci,Torino,22,AM(C),2407,88.5,,ITA-Serie A,2324
1405,Nahitan Nández,Cagliari,28,"D(R),M(CLR)",2357,65.9,,ITA-Serie A,2324
1406,Sam Beukema,Bologna,25,D(C),2550,90.1,,ITA-Serie A,2324
1407,Martín Payero,Udinese,25,AM(C),1801,77.9,,ITA-Serie A,2324
1408,Sandi Lovric,Udinese,26,AM(C),1990,81.2,,ITA-Serie A,2324
1409,Alberto Grassi,Empoli,29,DMC,1815,81.6,,ITA-Serie A,2324
1410,Andrea Belotti,Roma,30,FW,674,75.7,,ITA-Serie A,2324
1411,Mattia Perin,Juventus,31,GK,226,78.9,,ITA-Serie A,2324
1412,Nicolò Cambiaghi,Empoli,23,"AM(CLR),FW",2564,81.2,,ITA-Serie A,2324
1413,Ardian Ismajli,Empoli,27,D(C),2046,84.7,,ITA-Serie A,2324
1414,Emanuele Valeri,Frosinone,25,"D(L),M(L)",1178,67.2,,ITA-Serie A,2324
1415,Simon Kjær,AC Milan,35,D(C),1172,88.4,,ITA-Serie A,2324
1416,Dany Mota,Monza,26,"AM(CL),FW",2060,79.8,,ITA-Serie A,2324
1417,Martin Hongla,Verona,26,"D(C),DMC",1085,83.6,,ITA-Serie A,2324
1418,Alex Sandro,Juventus,33,"D(CL),M(L)",716,87.9,,ITA-Serie A,2324
1419,Szymon Zurkowski,Empoli,26,AM(C),872,80.7,,ITA-Serie A,2324
1420,Patric,Lazio,31,"D(CR),M(R)",1610,88.7,,ITA-Serie A,2324
1421,Rade Krunic,AC Milan,30,M(CL),688,90.6,,ITA-Serie A,2324
1422,Dan Ndoye,Bologna,23,AM(LR),1776,83.5,,ITA-Serie A,2324
1423,Ruslan Malinovskyi,Genoa,31,"M(CLR),FW",1550,81.6,,ITA-Serie A,2324
1424,Giacomo Raspadori,Napoli,24,"AM(CL),FW",1574,79.9,,ITA-Serie A,2324
1425,Roberto Pereyra,Udinese,33,"M(CLR),FW",1865,81.7,,ITA-Serie A,2324
1426,Matías Vecino,Lazio,32,M(C),1136,83.9,,ITA-Serie A,2324
1427,Beto,Udinese,26,FW,74,90.9,,ITA-Serie A,2324
1428,Tommaso Augello,Cagliari,29,"D(L),M(L)",2432,74.7,,ITA-Serie A,2324
1429,Enzo Barrenechea,Frosinone,23,DMC,2819,85.5,,ITA-Serie A,2324
1430,Giovanni Fabbian,Bologna,21,AM(C),1054,79.4,,ITA-Serie A,2324
1431,Alexis Sánchez,Inter,35,"M(CLR),FW",752,80.9,,ITA-Serie A,2324
1432,Giulio Maggiore,Salernitana,26,M(C),1808,78.5,,ITA-Serie A,2324
1433,Lucas Beltrán,Fiorentina,23,"AM(C),FW",1696,79.6,,ITA-Serie A,2324
1434,Anthony Oyono,Frosinone,23,D(R),1197,82.2,,ITA-Serie A,2324
1435,Houssem Aouar,Roma,25,M(CL),757,84.1,,ITA-Serie A,2324
1436,Federico Fazio,Salernitana,37,D(C),1356,75.3,,ITA-Serie A,2324
1437,Armando Izzo,Monza,32,D(C),1655,91.2,,ITA-Serie A,2324
1438,Jonathan Ikoné,Fiorentina,26,"AM(CLR),FW",1687,82.9,,ITA-Serie A,2324
1439,Jan-Carlo Simic,AC Milan,19,Defender,143,92.2,,ITA-Serie A,2324
1440,Kacper Urbanski,Bologna,19,AM(L),923,83.8,,ITA-Serie A,2324
1441,Alessandro Dellavalle,Torino,20,Defender,14,83.3,,ITA-Serie A,2324
1442,Zanos Savva,Torino,18,Forward,26,50,,ITA-Serie A,2324
1443,Adrien Tameze,Torino,30,"D(C),M(C)",2155,87.9,,ITA-Serie A,2324
1444,Manuel Lazzari,Lazio,30,"D(R),M(R)",1676,88.5,,ITA-Serie A,2324
1445,Ylber Ramadani,Lecce,28,DMC,2976,80,,ITA-Serie A,2324
1446,Kristjan Asllani,Inter,22,DMC,773,93,,ITA-Serie A,2324
1447,Caleb Okoli,Frosinone,22,D(C),2915,82.1,,ITA-Serie A,2324
1448,Edoardo Bove,Roma,22,M(C),1778,84.5,,ITA-Serie A,2324
1449,Christian Kouamé,Fiorentina,26,"AM(LR),FW",1084,76.4,,ITA-Serie A,2324
1450,Gabriel Strefezza,Lecce,27,M(LR),1118,78.2,,ITA-Serie A,2324
1451,Alex Meret,Napoli,27,GK,2774,82.3,,ITA-Serie A,2324
1452,Christian Kabasele,Udinese,33,D(C),861,84.4,,ITA-Serie A,2324
1453,Koni De Winter,Genoa,22,D(C),2382,88.9,,ITA-Serie A,2324
1454,Mattéo Guendouzi,Lazio,25,M(C),2371,85.5,,ITA-Serie A,2324
1455,Samuel Chukwueze,AC Milan,25,AM(CR),1015,81.7,,ITA-Serie A,2324
1456,Razvan Marin,Empoli,28,M(C),1820,79.9,,ITA-Serie A,2324
1457,M'Baye Niang,Empoli,29,"AM(LR),FW",709,64.7,,ITA-Serie A,2324
1458,Bartosz Bereszynski,Empoli,31,"D(CLR),M(R)",1767,78.7,,ITA-Serie A,2324
1459,Grigoris Kastanos,Salernitana,26,M(CR),1488,75.2,,ITA-Serie A,2324
1460,Liberato Cacace,Empoli,23,"D(L),M(L)",1909,77.5,,ITA-Serie A,2324
1461,Antonio Sanabria,Torino,28,FW,2134,79.7,,ITA-Serie A,2324
1462,Lorenzo De Silvestri,Bologna,36,"D(R),M(R)",674,87.9,,ITA-Serie A,2324
1463,Konstantinos Manolas,Salernitana,33,D(C),493,91.1,,ITA-Serie A,2324
1464,Toma Basic,Salernitana,27,M(C),1166,84.6,,ITA-Serie A,2324
1465,Pierluigi Gollini,Napoli,29,GK,630,80.3,,ITA-Serie A,2324
1466,Adam Marusic,Lazio,31,"D(CLR),M(LR)",3108,84.7,,ITA-Serie A,2324
1467,Kenan Yildiz,Juventus,19,FW,946,84.2,,ITA-Serie A,2324
1468,Davide Frattesi,Inter,24,DMC,935,80.9,,ITA-Serie A,2324
1469,Rui Patrício,Roma,36,GK,2070,75,,ITA-Serie A,2324
1470,Alessio Zerbin,Monza,25,AM(L),685,82.4,,ITA-Serie A,2324
1471,Fabio Miretti,Juventus,20,AM(C),1110,80.1,,ITA-Serie A,2324
1472,Patrick Dorgu,Lecce,19,"D(L),M(L)",1567,83.9,,ITA-Serie A,2324
1473,Martin Erlic,Sassuolo,26,D(C),2627,80.5,,ITA-Serie A,2324
1474,Isak Hien,Verona,25,D(C),865,82.2,,ITA-Serie A,2324
1475,Daniel Boloca,Sassuolo,25,DMC,2024,90.4,,ITA-Serie A,2324
1476,Samuel Iling-Junior,Juventus,20,M(L),801,79.3,,ITA-Serie A,2324
1477,Djed Spence,Genoa,23,"D(R),M(R)",855,79.8,,ITA-Serie A,2324
1478,Dodô,Fiorentina,25,D(R),523,84.7,,ITA-Serie A,2324
1479,Zito Luvumbo,Cagliari,22,"AM(L),FW",1947,72.9,,ITA-Serie A,2324
1480,Rasmus Kristensen,Roma,26,"D(CR),M(R)",1745,80.5,,ITA-Serie A,2324
1481,Leonardo Pavoletti,Cagliari,35,FW,620,56.2,,ITA-Serie A,2324
1482,Marko Arnautovic,Inter,35,"AM(CLR),FW",785,77.1,,ITA-Serie A,2324
1483,Ilario Monterisi,Frosinone,22,D(C),1469,81.3,,ITA-Serie A,2324
1484,Mário Rui,Napoli,33,"D(L),M(L)",1208,82.7,,ITA-Serie A,2324
1485,Jackson Tchatchoua,Verona,22,"D(R),M(LR)",1727,77.3,,ITA-Serie A,2324
1486,Karol Linetty,Torino,29,M(CLR),1860,86.8,,ITA-Serie A,2324
1487,Josip Brekalo,Fiorentina,26,"AM(CLR),FW",655,86.7,,ITA-Serie A,2324
1488,João Ferreira,Udinese,23,"D(CR),M(R)",1815,75.9,,ITA-Serie A,2324
1489,Alberto Cerri,Empoli,28,FW,556,50.7,,ITA-Serie A,2324
1490,Nemanja Radonjic,Torino,28,"M(CLR),FW",375,70.7,,ITA-Serie A,2324
1491,Ciro Immobile,Lazio,34,FW,1662,74.6,,ITA-Serie A,2324
1492,Walid Cheddira,Frosinone,26,FW,2132,69,,ITA-Serie A,2324
1493,Niccolò Pierozzi,Salernitana,22,D(C),874,78.1,,ITA-Serie A,2324
1494,Matteo Cancellieri,Empoli,22,"AM(CLR),FW",1785,65.5,,ITA-Serie A,2324
1495,Tommaso Pobega,AC Milan,24,M(C),314,78,,ITA-Serie A,2324
1496,Davide Faraoni,Verona,32,"D(R),M(R)",606,77,,ITA-Serie A,2324
1497,Morten Thorsby,Genoa,28,M(CLR),1145,62.6,,ITA-Serie A,2324
1498,Koffi Djidji,Torino,31,D(CL),760,87.1,,ITA-Serie A,2324
1499,Stefano Sabelli,Genoa,31,"D(R),M(R)",2452,63.4,,ITA-Serie A,2324
1500,Giorgos Kyriakopoulos,Monza,28,"D(L),M(L)",1718,85.9,,ITA-Serie A,2324
1501,Mërgim Vojvoda,Torino,29,"D(CR),M(LR)",1372,83,,ITA-Serie A,2324
1502,Adam Masina,Torino,30,"D(CL),M(L)",1021,87.3,,ITA-Serie A,2324
1503,Charalampos Lykogiannis,Bologna,30,"D(CL),M(L)",902,82,,ITA-Serie A,2324
1504,Jaime Báez,Frosinone,29,AM(L),504,73.9,,ITA-Serie A,2324
1505,Youssef Maleh,Empoli,25,M(C),2612,79.7,,ITA-Serie A,2324
1506,Hans Hateboer,Atalanta,30,"D(R),M(R)",1106,85.8,,ITA-Serie A,2324
1507,Stefano Turati,Frosinone,22,GK,2746,68.9,,ITA-Serie A,2324
1508,Gaetano Oristanio,Cagliari,21,"AM(CLR),FW",1105,74.5,,ITA-Serie A,2324
1509,Juan Cuadrado,Inter,36,"D(R),M(CLR),FW",259,91.6,,ITA-Serie A,2324
1510,Junior Sambia,Salernitana,27,"D(R),M(CLR)",1034,80.9,,ITA-Serie A,2324
1511,Jens Odgaard,Bologna,25,"AM(CR),FW",431,73.8,,ITA-Serie A,2324
1512,Caleb Ekuban,Genoa,30,"AM(CLR),FW",1126,66.7,,ITA-Serie A,2324
1513,Nicolò Casale,Lazio,26,D(C),1558,91.8,,ITA-Serie A,2324
1514,Natan,Napoli,23,D(CL),956,87.6,,ITA-Serie A,2324
1515,Valentino Lazaro,Torino,28,"D(R),M(CLR)",1988,82,,ITA-Serie A,2324
1516,Samuele Birindelli,Monza,24,"D(R),M(R)",2016,83.1,,ITA-Serie A,2324
1517,Reinier,Frosinone,22,AM(C),1066,81.3,,ITA-Serie A,2324
1518,Luka Jovic,AC Milan,26,FW,872,74.6,,ITA-Serie A,2324
1519,Jesper Karlsson,Bologna,25,"AM(LR),FW",344,76.8,,ITA-Serie A,2324
1520,Michel Aebischer,Bologna,27,M(CR),2234,91.9,,ITA-Serie A,2324
1521,Andrea Consigli,Sassuolo,37,GK,3150,63.9,,ITA-Serie A,2324
1522,Jacopo Fazzini,Empoli,21,AM(C),1228,74.3,,ITA-Serie A,2324
1523,Zeki Çelik,Roma,27,"D(R),M(R)",667,87.2,,ITA-Serie A,2324
1524,Luca Lipani,Sassuolo,19,DMC,387,78.7,,ITA-Serie A,2324
1525,Vincenzo Fiorillo,Salernitana,34,GK,361,37.6,,ITA-Serie A,2324
1526,Josh Doig,Sassuolo,22,"D(CL),M(L)",1347,69,,ITA-Serie A,2324
1527,Luis Muriel,Atalanta,33,"AM(CL),FW",398,75.4,,ITA-Serie A,2324
1528,Pol Lirola,Frosinone,26,"D(CR),M(LR)",1541,78.6,,ITA-Serie A,2324
1529,Antonín Barák,Fiorentina,29,AM(CR),802,86.2,,ITA-Serie A,2324
1530,Guillermo Ochoa,Salernitana,38,GK,1890,55.5,,ITA-Serie A,2324
1531,Kevin Strootman,Genoa,34,DMC,1212,82.9,,ITA-Serie A,2324
1532,Nicola Zalewski,Roma,22,"D(L),M(LR)",965,78.6,,ITA-Serie A,2324
1533,Riccardo Marchizza,Frosinone,26,D(L),1149,76.2,,ITA-Serie A,2324
1534,Lorenzo Pirola,Salernitana,22,D(C),1993,83.4,,ITA-Serie A,2324
1535,M'Bala Nzola,Fiorentina,27,FW,1550,82.7,,ITA-Serie A,2324
1536,Eljif Elmas,Napoli,24,"M(CLR),FW",334,90.1,,ITA-Serie A,2324
1537,Noah Okafor,AC Milan,24,"AM(L),FW",872,69.9,,ITA-Serie A,2324
1538,Cyril Ngonge,Napoli,24,"AM(CR),FW",307,81.1,,ITA-Serie A,2324
1539,Aarón Martín,Genoa,27,"D(L),M(L)",1382,78.3,,ITA-Serie A,2324
1540,Gabriele Zappa,Cagliari,24,"D(CR),M(R)",2560,73.5,,ITA-Serie A,2324
1541,Jens Cajuste,Napoli,24,DMC,1009,86,,ITA-Serie A,2324
1542,Matteo Prati,Cagliari,20,DMC,1973,75.4,,ITA-Serie A,2324
1543,Domagoj Bradaric,Salernitana,24,"D(L),M(L)",2754,81.6,,ITA-Serie A,2324
1544,Simone Bastoni,Empoli,27,"D(L),DMC,M(L)",748,71.1,,ITA-Serie A,2324
1545,Francesco Rossi,Atalanta,33,Goalkeeper,4,-,,ITA-Serie A,2324
1546,Ibrahim Sulemana,Cagliari,21,DMC,1345,82.3,,ITA-Serie A,2324
1547,Simone Scuffet,Cagliari,28,GK,2790,62,,ITA-Serie A,2324
1548,Berkan Kutlu,Genoa,26,"D(L),DMC",193,78.8,,ITA-Serie A,2324
1549,Arkadiusz Milik,Juventus,30,"AM(C),FW",902,81.1,,ITA-Serie A,2324
1550,Antonio Mirante,AC Milan,40,GK,178,73.5,,ITA-Serie A,2324
1551,Filippo Ranocchia,Empoli,23,M(C),479,73,,ITA-Serie A,2324
1552,Rolando Mandragora,Fiorentina,26,DMC,1586,82.3,,ITA-Serie A,2324
1553,Valentín Carboni,Monza,19,AM(C),1160,85.2,,ITA-Serie A,2324
1554,Paul Pogba,Juventus,31,M(CL),52,79.4,,ITA-Serie A,2324
1555,Rares Burnete,Lecce,20,Forward,7,100,,ITA-Serie A,2324
1556,Lorenzo Colombo,Monza,22,FW,1367,70.3,,ITA-Serie A,2324
1557,Federico Baschirotto,Lecce,27,D(C),3295,84.1,,ITA-Serie A,2324
1558,Darko Lazovic,Verona,33,M(CLR),1944,70.2,,ITA-Serie A,2324
1559,Davide Faraoni,Fiorentina,32,"D(R),M(R)",391,81,,ITA-Serie A,2324
1560,Gianluca Lapadula,Cagliari,34,FW,1207,72.4,,ITA-Serie A,2324
1561,Cristian Volpato,Sassuolo,20,Midfielder,634,71.3,,ITA-Serie A,2324
1562,Danilo Cataldi,Lazio,29,M(C),1362,87.9,,ITA-Serie A,2324
1563,Mattia Caldara,AC Milan,30,D(C),32,83.3,,ITA-Serie A,2324
1564,Marco Brescianini,Frosinone,24,M(C),2324,79.9,,ITA-Serie A,2324
1565,Joan González,Lecce,22,M(C),1287,76.6,,ITA-Serie A,2324
1566,Andrea Petagna,Cagliari,28,FW,1000,71.5,,ITA-Serie A,2324
1567,Yunus Musah,AC Milan,21,M(CR),1468,89,,ITA-Serie A,2324
1568,El Bilal Touré,Atalanta,22,FW,388,74.2,,ITA-Serie A,2324
1569,Festy Ebosele,Udinese,21,M(R),1707,71.4,,ITA-Serie A,2324
1570,Edoardo Goldaniga,Cagliari,30,D(CR),1013,81,,ITA-Serie A,2324
1571,Chris Smalling,Roma,34,D(CR),389,86.4,,ITA-Serie A,2324
1572,Nedim Bajrami,Sassuolo,25,AM(CLR),1315,82.2,,ITA-Serie A,2324
1573,Gianluca Gaetano,Napoli,24,AM(C),156,88.2,,ITA-Serie A,2324
1574,Luca Pellegrini,Lazio,25,"D(L),M(L)",782,76.6,,ITA-Serie A,2324
1575,Giuseppe Pezzella,Empoli,26,"D(L),M(L)",1087,77.8,,ITA-Serie A,2324
1576,Matheus Henrique,Sassuolo,26,M(C),2503,83.1,,ITA-Serie A,2324
1577,Kingsley Ehizibue,Udinese,29,"D(R),M(R)",958,70.4,,ITA-Serie A,2324
1578,Mohamed Kaba,Lecce,22,M(C),1386,81,,ITA-Serie A,2324
1579,Stefano Sensi,Inter,28,AM(C),44,90.2,,ITA-Serie A,2324
1580,Loum Tchaouna,Salernitana,20,"AM(CR),FW",2098,71.6,,ITA-Serie A,2324
1581,Rafael Tolói,Atalanta,33,D(C),962,83.4,,ITA-Serie A,2324
1582,Boulaye Dia,Salernitana,27,"AM(CR),FW",1143,84.3,,ITA-Serie A,2324
1583,Oussama El Azzouzi,Bologna,23,DMC,537,90.5,,ITA-Serie A,2324
1584,Josh Doig,Verona,22,"D(CL),M(L)",839,80,,ITA-Serie A,2324
1585,Sardar Azmoun,Roma,29,"AM(C),FW",570,69.3,,ITA-Serie A,2324
1586,Lassana Coulibaly,Salernitana,28,M(CL),2088,85.4,,ITA-Serie A,2324
1587,Elseid Hysaj,Lazio,30,"D(LR),M(R)",1197,84.8,,ITA-Serie A,2324
1588,Hans Nicolussi Caviglia,Juventus,24,M(C),266,84.6,,ITA-Serie A,2324
1589,Boris Radunovic,Cagliari,28,GK,630,72.8,,ITA-Serie A,2324
1590,Ahmed Touba,Lecce,26,D(C),275,83.9,,ITA-Serie A,2324
1591,Tommaso Baldanzi,Roma,21,AM(CR),516,86.6,,ITA-Serie A,2324
1592,Eldor Shomurodov,Cagliari,28,"AM(C),FW",937,67.7,,ITA-Serie A,2324
1593,Santiago Castro,Bologna,19,FW,238,84,,ITA-Serie A,2324
1594,Alexis Blin,Lecce,27,DMC,1633,87.5,,ITA-Serie A,2324
1595,Nicola Sansone,Lecce,32,"AM(LR),FW",752,80.2,,ITA-Serie A,2324
1596,Luca Caldirola,Monza,33,D(CL),2141,91.1,,ITA-Serie A,2324
1597,Francesco Gelli,Frosinone,27,M(L),1560,85.4,,ITA-Serie A,2324
1598,Vítinha,Genoa,24,FW,281,61.7,,ITA-Serie A,2324
1599,Mattia Viti,Sassuolo,22,D(CL),987,84.7,,ITA-Serie A,2324
1600,Gian Marco Ferrari,Sassuolo,32,D(C),2269,83.5,,ITA-Serie A,2324
1601,Gustav Isaksen,Lazio,23,AM(R),1073,71.2,,ITA-Serie A,2324
1602,Giorgio Cittadini,Genoa,22,Defender,104,60.7,,ITA-Serie A,2324
1603,Pasquale Mazzocchi,Salernitana,28,"D(LR),M(LR)",1278,73.5,,ITA-Serie A,2324
1604,Warren Bondo,Monza,20,DMC,1474,90.2,,ITA-Serie A,2324
1605,Samuele Vignato,Monza,20,Forward,340,86.6,,ITA-Serie A,2324
1606,Karol Swiderski,Verona,27,"AM(C),FW",496,72.8,,ITA-Serie A,2324
1607,Jeremy Toljan,Sassuolo,29,"D(LR),M(LR)",2086,77.8,,ITA-Serie A,2324
1608,Pedro Obiang,Sassuolo,32,DMC,453,81.3,,ITA-Serie A,2324
1609,Hamza Rafia,Lecce,25,AM(C),1212,75.5,,ITA-Serie A,2324
1610,Federico Bonazzoli,Verona,27,"AM(C),FW",1017,79.5,,ITA-Serie A,2324
1611,Roberto Piccoli,Lecce,23,FW,1363,61.3,,ITA-Serie A,2324
1612,Nikola Moro,Bologna,26,M(C),838,83.5,,ITA-Serie A,2324
1613,Alessandro Deiola,Cagliari,28,DMC,1611,71.4,,ITA-Serie A,2324
1614,Jakub Jankto,Cagliari,28,M(CLR),881,69.4,,ITA-Serie A,2324
1615,Tammy Abraham,Roma,26,FW,240,51.4,,ITA-Serie A,2324
1616,Timothy Weah,Juventus,24,"D(LR),M(LR),FW",1249,84.7,,ITA-Serie A,2324
1617,Simy,Salernitana,32,FW,682,62.6,,ITA-Serie A,2324
1618,Tommaso Baldanzi,Empoli,21,AM(CR),745,84.1,,ITA-Serie A,2324
1619,Bruno Amione,Verona,22,D(C),582,80,,ITA-Serie A,2324
1620,Paulo Azzi,Cagliari,29,M(L),940,71.7,,ITA-Serie A,2324
1621,Tyronne Ebuehi,Empoli,28,D(LR),1096,75,,ITA-Serie A,2324
1622,Tiago Djaló,Juventus,24,D(CLR),16,92.3,,ITA-Serie A,2324
1623,Maxime Lopez,Fiorentina,26,M(CR),797,89.9,,ITA-Serie A,2324
1624,Jordan Zemura,Udinese,24,"D(L),M(L)",1036,72.1,,ITA-Serie A,2324
1625,Carlos Alcaraz,Juventus,21,"M(C),FW",380,87.7,,ITA-Serie A,2324
1626,Antoine Makoumbou,Cagliari,25,DMC,2709,88.9,,ITA-Serie A,2324
1627,Norbert Gyömbér,Salernitana,31,"D(CR),DMC",1763,84.2,,ITA-Serie A,2324
1628,Isaac Success,Udinese,28,"AM(LR),FW",873,64.7,,ITA-Serie A,2324
1629,Gvidas Gineitis,Torino,20,M(C),533,83.9,,ITA-Serie A,2324
1630,Tajon Buchanan,Inter,25,"D(R),M(CLR)",151,93.2,,ITA-Serie A,2324
1631,Pasquale Mazzocchi,Napoli,28,"D(LR),M(LR)",427,84.1,,ITA-Serie A,2324
1632,Keinan Davis,Udinese,26,FW,181,72,,ITA-Serie A,2324
1633,Lapo Nava,AC Milan,20,Goalkeeper,2,100,,ITA-Serie A,2324
1634,Uros Racic,Sassuolo,26,DMC,815,81.7,,ITA-Serie A,2324
1635,Filippo Missori,Sassuolo,20,Defender,263,78.3,,ITA-Serie A,2324
1636,Samu Castillejo,Sassuolo,29,"AM(CLR),FW",531,82.9,,ITA-Serie A,2324
1637,Alessandro Sorrentino,Monza,22,GK,546,72.6,,ITA-Serie A,2324
1638,Daniel Maldini,Empoli,22,AM(CL),263,81.9,,ITA-Serie A,2324
1639,Viktor Kovalenko,Empoli,28,M(C),606,73.5,,ITA-Serie A,2324
1640,Francesco Caputo,Empoli,36,FW,1276,76.1,,ITA-Serie A,2324
1641,Dean Huijsen,Roma,19,Defender,504,87.1,,ITA-Serie A,2324
1642,Marcus Pedersen,Sassuolo,23,D(LR),1606,80.1,,ITA-Serie A,2324
1643,Hamed Traorè,Napoli,24,AM(CLR),384,87.8,,ITA-Serie A,2324
1644,Gianluca Caprari,Monza,30,"AM(CLR),FW",287,82.3,,ITA-Serie A,2324
1645,Emil Bohinen,Salernitana,25,DMC,539,79.2,,ITA-Serie A,2324
1646,Matteo Lovato,Torino,24,D(C),539,89.7,,ITA-Serie A,2324
1647,Matteo Lovato,Salernitana,24,D(C),951,81.7,,ITA-Serie A,2324
1648,Alessandro Zanoli,Salernitana,23,"D(R),M(R)",924,78.4,,ITA-Serie A,2324
1649,Saba Sazonov,Torino,22,D(C),348,88.1,,ITA-Serie A,2324
1650,Pedro Pereira,Monza,26,"D(R),M(LR)",835,82.8,,ITA-Serie A,2324
1651,Tommaso Corazza,Bologna,19,Defender,188,80.4,,ITA-Serie A,2324
1652,Giuseppe Caso,Frosinone,25,Forward,410,86.2,,ITA-Serie A,2324
1653,Moise Kean,Juventus,24,"AM(LR),FW",651,69.9,,ITA-Serie A,2324
1654,Pedro,Lazio,36,"M(CLR),FW",801,85.9,,ITA-Serie A,2324
1655,Pietro Comuzzo,Fiorentina,19,Defender,39,71.1,,ITA-Serie A,2324
1656,Mateusz Wieteska,Cagliari,27,D(C),960,82,,ITA-Serie A,2324
1657,Renato Sanches,Roma,26,M(CR),143,90.4,,ITA-Serie A,2324
1658,Grégoire Defrel,Sassuolo,33,"AM(CR),FW",755,85.5,,ITA-Serie A,2324
1659,David Okereke,Torino,26,"AM(CLR),FW",249,80.5,,ITA-Serie A,2324
1660,Benoît Costil,Salernitana,36,GK,1170,55.9,,ITA-Serie A,2324
1661,Giovanni Simeone,Napoli,28,"AM(R),FW",792,72.6,,ITA-Serie A,2324
1662,Arijon Ibrahimovic,Frosinone,18,AM(L),472,73.7,,ITA-Serie A,2324
1663,Santiago Pierotti,Lecce,23,"AM(CR),FW",191,75.8,,ITA-Serie A,2324
1664,Adam Obert,Cagliari,21,D(C),941,79,,ITA-Serie A,2324
1665,Stefan Mitrovic,Verona,21,AM(LR),390,85.2,,ITA-Serie A,2324
1666,Emmanuel Gyasi,Empoli,30,"M(CLR),FW",1876,78,,ITA-Serie A,2324
1667,Mitchel Bakker,Atalanta,24,"D(L),M(L)",375,81.4,,ITA-Serie A,2324
1668,José Palomino,Atalanta,34,D(C),23,78.1,,ITA-Serie A,2324
1669,Emanuel Vignato,Salernitana,23,AM(CL),308,75.2,,ITA-Serie A,2324
1670,Diego Demme,Napoli,32,DMC,73,86.3,,ITA-Serie A,2324
1671,Mattia De Sciglio,Juventus,31,"D(CLR),M(LR)",46,88.2,,ITA-Serie A,2324
1672,Jean-Daniel Akpa Akpro,Monza,31,"D(R),M(CLR)",703,84,,ITA-Serie A,2324
1673,Kaio Jorge,Frosinone,22,FW,807,73.5,,ITA-Serie A,2324
1674,Pantelis Hatzidiakos,Cagliari,27,D(CR),867,84,,ITA-Serie A,2324
1675,Kevin Bonifazi,Bologna,28,D(C),90,87.8,,ITA-Serie A,2324
1676,Chukwubuikem Ikwuemesi,Salernitana,22,FW,1059,67.1,,ITA-Serie A,2324
1677,Riccardo Pagano,Roma,19,Midfielder,49,86.4,,ITA-Serie A,2324
1678,Ruan Tressoldi,Sassuolo,25,D(C),1517,85.3,,ITA-Serie A,2324
1679,Jérôme Boateng,Salernitana,35,D(CR),239,84.8,,ITA-Serie A,2324
1680,Agustín Martegani,Salernitana,24,AM(C),726,85.5,,ITA-Serie A,2324
1681,Lucien Agoumé,Inter,22,DMC,4,100,,ITA-Serie A,2324
1682,Mirko Maric,Monza,29,Forward,280,73.3,,ITA-Serie A,2324
1683,Kingstone Mutandwa,Cagliari,21,Forward,34,33.3,,ITA-Serie A,2324
1684,David Zima,Torino,23,D(C),88,83.7,,ITA-Serie A,2324
1685,Ridgeciano Haps,Genoa,31,"D(L),M(L)",771,76,,ITA-Serie A,2324
1686,Jesper Lindstrøm,Napoli,24,"AM(CLR),FW",418,84.4,,ITA-Serie A,2324
1687,Marco Silvestri,Udinese,33,GK,1530,67.3,,ITA-Serie A,2324
1688,Enzo Ebosse,Udinese,25,D(C),8,80,,ITA-Serie A,2324
1689,Nicola Bagnolini,Bologna,20,Goalkeeper,4,66.7,,ITA-Serie A,2324
1690,Triantafyllos Pasalidis,Salernitana,27,D(C),452,81.9,,ITA-Serie A,2324
1691,Flavius Daniliuc,Salernitana,23,D(CR),744,86.2,,ITA-Serie A,2324
1692,Davy Klaassen,Inter,31,M(CL),197,86.3,,ITA-Serie A,2324
1693,Brenner,Udinese,24,FW,186,88.7,,ITA-Serie A,2324
1694,Demba Seck,Torino,23,AM(C),428,76.6,,ITA-Serie A,2324
1695,Marvin Çuni,Frosinone,22,FW,522,75.2,,ITA-Serie A,2324
1696,Medon Berisha,Lecce,20,Midfielder,205,86.3,,ITA-Serie A,2324
1697,Brandon Soppy,Torino,22,"D(R),M(LR)",177,70.6,,ITA-Serie A,2324
1698,Papu Gómez,Monza,36,"M(CLR),FW",39,84.6,,ITA-Serie A,2324
1699,Andres Sfait,Salernitana,19,Midfielder,21,75,,ITA-Serie A,2324
1700,Pierre Kalulu,AC Milan,24,D(CR),371,90.1,,ITA-Serie A,2324
1701,Iron Gomis,Salernitana,24,AM(L),132,89.7,,ITA-Serie A,2324
1702,Álex Jiménez,AC Milan,19,Defender,65,88.2,,ITA-Serie A,2324
